suffx,IoU Threshold,TP,FP,FN,Precision,Recall,F1-Score,Average IoU
synthetic_metrics_deepcad_30-150,0.5,381.0,462.0,298.0,0.4519572953736654,0.561119293078056,0.5006570302233903,0.6979556530184408
synthetic_metrics_fft_frame3000_alphas0.85_30-150,0.5,382.0,446.0,297.0,0.4613526570048309,0.5625920471281296,0.5069674850696748,0.6983227329995295
synthetic_metrics_deepcad_15_15-150,0.5,361.0,614.0,318.0,0.3702564102564102,0.5316642120765832,0.4365175332527207,0.6922321824881071
synthetic_metrics_fft_150_,0.5,367.0,245.0,312.0,0.5996732026143791,0.540500736377025,0.56855151045701,0.7096467339733894
synthetic_metrics_deepcad_150_,0.5,371.0,262.0,308.0,0.5860979462875198,0.5463917525773195,0.5655487804878049,0.7120322268472281
zebrafish_metrics_deepcad,0.5,87.0,17.0,1301.0,0.8365384615384616,0.0626801152737752,0.1166219839142091,0.7712386057269743
zebrafish_metrics_fft,0.5,87.0,15.0,1301.0,0.8529411764705882,0.06268011527377522,0.11677852348993288,0.7652222361885933
