step,epoch,l1,l2,corr,reg,loss
0,0.0,0.0057619051076471806,0.004089039284735918,0.0003971099795307964,0.0,0.010248054750263691
1,0.0,0.005755183752626181,0.004071494564414024,0.00040383340092375875,2.424317972327117e-05,0.01025475561618805
2,0.0,0.005745874717831612,0.004049393814057112,0.0003357291279826313,3.101916945524863e-06,0.01013409998267889
3,0.0,0.005709673743695021,0.004001417197287083,0.0003941655158996582,1.1343983032929827e-06,0.010106390342116356
4,0.0,0.0057103135623037815,0.003969606943428516,0.0004272103251423687,1.6868089005583897e-06,0.010108818300068378
5,1.0,0.005710334051400423,0.003992787096649408,0.0003994107246398926,2.5874876428133575e-06,0.010105119086802006
6,1.0,0.0057282294146716595,0.003992591984570026,0.0003211975272279233,3.8506709643115755e-06,0.010045869275927544
7,1.0,0.0057265255600214005,0.003992712125182152,0.0003995418664999306,5.648229034704855e-06,0.010124428197741508
8,1.0,0.005692911799997091,0.003937259782105684,0.00040879248990677297,7.572490630991524e-06,0.010046537034213543
9,1.0,0.005690097343176603,0.003958958201110363,0.00039714574813842773,9.162407877738588e-06,0.010055363178253174
10,2.0,0.005687431897968054,0.003951556980609894,0.0004001617489848286,1.0527292943152133e-05,0.010049678385257721
11,2.0,0.00569124473258853,0.003922691568732262,0.0004123210965190083,1.197548317577457e-05,0.010038233362138271
12,2.0,0.005701687652617693,0.003938151523470879,0.0003890276129823178,1.3659849173563998e-05,0.010042525827884674
13,2.0,0.005696879234164953,0.003932205028831959,0.00032780171022750437,1.5663890735595487e-05,0.00997254904359579
14,2.0,0.005685408599674702,0.003928403370082378,0.000387406355002895,1.7827271221904084e-05,0.010019045323133469
15,3.0,0.005687789525836706,0.003913793712854385,0.00039811135502532125,2.0148987459833734e-05,0.010019844397902489
16,3.0,0.005697054322808981,0.003940407652407885,0.00040307044400833547,2.2579433789360337e-05,0.010063111782073975
17,3.0,0.005669980309903622,0.003910417202860117,0.0003866910992655903,2.4967903300421312e-05,0.009992056526243687
18,3.0,0.005674665328115225,0.0038970699533820152,0.00041425228118896484,2.7052961740992032e-05,0.010013040155172348
19,3.0,0.0056718518026173115,0.0038904184475541115,0.00024937393027357757,2.8832950192736462e-05,0.009840477257966995
20,4.0,0.005690015386790037,0.003923637326806784,0.0003167390823364258,3.054165790672414e-05,0.009960933588445187
21,4.0,0.005680146627128124,0.0039055042434483767,0.0003970980760641396,3.2296964491251856e-05,0.01001504622399807
22,4.0,0.005676149856299162,0.003895930480211973,0.000411236280342564,3.4023909392999485e-05,0.010017341002821922
23,4.0,0.005653847474604845,0.003897720715031028,0.00039837360964156687,3.560205004760064e-05,0.009985542856156826
24,4.0,0.005681750830262899,0.003917118068784475,0.000399279611883685,3.70513807865791e-05,0.010035200044512749
25,5.0,0.00565996952354908,0.003906400874257088,0.0003997802850790322,3.831760841421783e-05,0.010004468262195587
26,5.0,0.0056607527658343315,0.0038791263941675425,0.00039560795994475484,3.938161171390675e-05,0.009974868968129158
27,5.0,0.005675611086189747,0.003902093041688204,0.00040808916673995554,4.016854290966876e-05,0.010025962255895138
28,5.0,0.005690392106771469,0.003926712088286877,0.00032645463943481445,4.073426316608675e-05,0.009984293021261692
29,5.0,0.00568705378100276,0.003922384697943926,0.00039057733374647796,4.1103234252659604e-05,0.01004111859947443
30,6.0,0.005665052216500044,0.0039047212339937687,0.0003973722632508725,4.128453292651102e-05,0.010008430108428001
31,6.0,0.005669094156473875,0.0038933102041482925,0.00039483309956267476,4.134048140258528e-05,0.009998578578233719
32,6.0,0.005662822164595127,0.0038965651765465736,0.0004082918167114258,4.12418921769131e-05,0.010008920915424824
33,6.0,0.005687935743480921,0.003930207807570696,0.000395035749534145,4.104341132915579e-05,0.01005422230809927
34,6.0,0.00568973645567894,0.003910408820956945,0.0002542376460041851,4.075461038155481e-05,0.009895138442516327
35,7.0,0.005682095419615507,0.003919403534382582,0.00039882661076262593,4.035323581774719e-05,0.010040679015219212
36,7.0,0.0056940666399896145,0.003926775883883238,0.00031832457170821726,3.986146839451976e-05,0.00997902825474739
37,7.0,0.005670048762112856,0.0038947334978729486,0.0003940701426472515,3.924693737644702e-05,0.009998099878430367
38,7.0,0.0056548453867435455,0.0038963358383625746,0.000413787376601249,3.8474328903248534e-05,0.010003442876040936
39,7.0,0.005660834722220898,0.0038771696854382753,0.00040097237797454,3.7664980482077226e-05,0.009976641274988651
40,8.0,0.005682266782969236,0.003908143378794193,0.0004108309803996235,3.6800884117837995e-05,0.0100380415096879
41,8.0,0.0056798323057591915,0.003910379949957132,0.00030972957029007375,3.595128873712383e-05,0.0099358931183815
42,8.0,0.005655375774949789,0.0039003263227641582,0.00040352344512939453,3.515455682645552e-05,0.009994380176067352
43,8.0,0.005687023047357798,0.003910632338374853,0.00040633679600432515,3.450194708420895e-05,0.010038494132459164
44,8.0,0.005663587711751461,0.0038969179149717093,0.0003838420088868588,3.3895918022608384e-05,0.00997824314981699
45,9.0,0.005659365560859442,0.003909685183316469,0.00039964914321899414,3.3266212994931266e-05,0.010001965798437595
46,9.0,0.005688311066478491,0.003914536442607641,0.0004004240036010742,3.257835851400159e-05,0.01003585010766983
