step,epoch,l1,l2,corr,reg,loss
0,0.0,0.0057333908043801785,0.004024678375571966,0.00034879447775892913,0.0,0.01010686345398426
1,0.0,0.005723144393414259,0.004024587105959654,0.0003712415636982769,2.0874956589977955e-06,0.010121060535311699
2,0.0,0.0057319761253893375,0.004033711273223162,0.00034726859303191304,1.752287403178343e-06,0.010114708915352821
3,0.0,0.005727605428546667,0.004003932233899832,0.0003500223101582378,2.1239372927084332e-06,0.01008368469774723
4,0.0,0.005761661101132631,0.004056999459862709,0.00033479928970336914,1.9754138520511333e-06,0.010155434720218182
5,0.0,0.005722299218177795,0.00398596003651619,0.0003617048205342144,1.6848506447786349e-06,0.010071649216115475
6,0.0,0.005726799368858337,0.003991780336946249,7.293224189197645e-05,1.42136741487775e-06,0.009792933240532875
7,0.0,0.005760604981333017,0.004036402329802513,0.0003400444984436035,1.2700695606326917e-06,0.010138321667909622
8,1.0,0.005710859317332506,0.003994131926447153,0.00037276744842529297,1.2285066759432084e-06,0.01007898710668087
9,1.0,0.005757591687142849,0.004029798321425915,0.00033805370912887156,1.2182800901427981e-06,0.010126661509275436
10,1.0,0.005718916654586792,0.004003738518804312,0.0003446221526246518,1.1843184211102198e-06,0.01006846223026514
11,1.0,0.0057165841571986675,0.003978579305112362,0.0003455996629782021,1.1653000910882838e-06,0.010041927918791771
12,1.0,0.005719005595892668,0.003974575083702803,7.042884681141004e-05,1.187194584417739e-06,0.009765196591615677
13,1.0,0.005710669327527285,0.003969105426222086,0.00035052301245741546,1.2906782558275154e-06,0.01003158837556839
14,1.0,0.005709602031856775,0.003957607317715883,0.00035685300827026367,1.4430064538828447e-06,0.010025504976511002
15,1.0,0.005744105204939842,0.004016070161014795,0.00033065080060623586,1.6713778450139216e-06,0.010092497803270817
16,2.0,0.005709546152502298,0.003981492482125759,0.0003458142455201596,2.006823478950537e-06,0.010038860142230988
17,2.0,0.005708328913897276,0.003957769367843866,0.0003470301744528115,2.374298901486327e-06,0.010015502572059631
18,2.0,0.005703183822333813,0.003950976300984621,0.0003525138017721474,2.6474874630366685e-06,0.010009322315454483
19,2.0,0.005742248613387346,0.003992776852101088,0.000339829915901646,2.8296585696807597e-06,0.010077685117721558
20,2.0,0.005693168379366398,0.003952598199248314,0.0003737211227416992,2.964717850773013e-06,0.010022452101111412
21,2.0,0.005707410629838705,0.003946363460272551,7.196664955699816e-05,3.0637881991424365e-06,0.009728805162012577
22,2.0,0.005699143745005131,0.0039332895539700985,0.0003585457743611187,3.1400206808029907e-06,0.00999411940574646
23,2.0,0.005732920486479998,0.00398985855281353,0.0003313779889140278,3.2027157885750057e-06,0.010057359002530575
24,3.0,0.005704450886696577,0.003940327558666468,7.110834121704102e-05,3.299679292467772e-06,0.009719186462461948
25,3.0,0.005735102575272322,0.003977401182055473,0.0003384113369975239,3.4274228255526396e-06,0.010054342448711395
26,3.0,0.005698677618056536,0.003936172462999821,0.0003463268221821636,3.5969799228041666e-06,0.009984774515032768
27,3.0,0.005694068502634764,0.003923080861568451,0.00035712719545699656,3.7925528886262327e-06,0.009978068992495537
28,3.0,0.005727285984903574,0.003977829124778509,0.00033054352388717234,4.023770088679157e-06,0.010039681568741798
29,3.0,0.005683220457285643,0.003931948449462652,0.00037201642408035696,4.287957835913403e-06,0.009991473518311977
30,3.0,0.005689627956598997,0.003922538366168737,0.0003512859402690083,4.5532838157669175e-06,0.009968005120754242
31,3.0,0.00569129129871726,0.003942597657442093,0.00034539701300673187,4.7896060095808934e-06,0.009984076023101807
32,4.0,0.005689315032213926,0.003913321066647768,0.00035728217335417867,5.00652231494314e-06,0.009964925236999989
33,4.0,0.00567935174331069,0.003924029413610697,0.00037200452061370015,5.199663974053692e-06,0.009980585426092148
34,4.0,0.0057212552055716515,0.003965073265135288,0.0003305315913166851,5.39153643330792e-06,0.01002225186675787
35,4.0,0.005687526892870665,0.003935355227440596,0.0003452897071838379,5.603240424534306e-06,0.009973774664103985
36,4.0,0.005684270989149809,0.003912043757736683,0.00035115479840897024,5.848085038451245e-06,0.009953317232429981
37,4.0,0.005723363254219294,0.003952960483729839,0.00033826829167082906,6.109815785748651e-06,0.01002070214599371
38,4.0,0.005692488048225641,0.003915952984243631,7.09772139089182e-05,6.391347596945707e-06,0.009685809724032879
39,4.0,0.005688104312866926,0.003914049360901117,0.00034664871054701507,6.6756460910255555e-06,0.00995547790080309
40,5.0,0.005716049578040838,0.00395427318289876,0.00033136605634354055,6.9573238761222456e-06,0.010008646175265312
41,5.0,0.00568027189001441,0.0039040972478687763,0.00035218000994063914,7.265615749929566e-06,0.009943814016878605
42,5.0,0.005671998020261526,0.003909561317414045,0.0003730177995748818,7.5729453783424105e-06,0.009962149895727634
43,5.0,0.0057187676429748535,0.003943832591176033,0.0003390073834452778,7.859750439820345e-06,0.010009466670453548
44,5.0,0.005685107316821814,0.003908468876034021,0.00034677982330322266,8.08522690931568e-06,0.009948440827429295
45,5.0,0.005688106175512075,0.003907999023795128,7.11679458618164e-05,8.219337360060308e-06,0.009675492532551289
46,5.0,0.005678984336555004,0.003919866401702166,0.0003456950362306088,8.346835784323048e-06,0.009952892549335957
47,5.0,0.005678866058588028,0.0038943795952945948,0.0003575801965780556,8.542151590518188e-06,0.00993936788290739
48,6.0,0.0056684608571231365,0.0039040599949657917,0.00037219523801468313,8.788211744104046e-06,0.009953504428267479
49,6.0,0.005715373437851667,0.003938525449484587,0.00033826829167082906,9.084035809792113e-06,0.010001251474022865
50,6.0,0.0056857033632695675,0.003904521930962801,7.079839997459203e-05,9.370122825202998e-06,0.009670393541455269
51,6.0,0.005676107946783304,0.003915619570761919,0.0003452658711466938,9.583196515450254e-06,0.009946576319634914
