step,epoch,l1,l2,corr,reg,loss
0,0.0,0.06185157224535942,0.004989218432456255,0.0,0.0,0.06684079021215439
1,0.0,0.05445896461606026,0.00401441240683198,0.0,0.0,0.0584733784198761
2,0.0,0.055258624255657196,0.0041258735582232475,0.0,0.0,0.05938449874520302
3,0.0,0.05882639065384865,0.004487497732043266,0.0,0.0,0.06331388652324677
4,0.0,0.05914721637964249,0.0044343783520162106,0.0,0.0,0.06358159333467484
5,0.0,0.06088514253497124,0.004729460459202528,0.0,0.0,0.06561460345983505
6,0.0,0.05698768049478531,0.004284262657165527,0.0,0.0,0.061271943151950836
7,0.0,0.05558779463171959,0.004170642234385014,0.0,0.0,0.05975843593478203
8,0.0,0.05710763484239578,0.004303581081330776,0.0,0.0,0.06141121685504913
9,0.0,0.0613839291036129,0.004797425586730242,0.0,0.0,0.06618135422468185
10,1.0,0.05743241310119629,0.004252719692885876,0.0,0.0,0.06168513372540474
11,1.0,0.06120749190449715,0.00462769391015172,0.0,0.0,0.06583518534898758
12,1.0,0.05702917277812958,0.004302634857594967,0.0,0.0,0.06133180856704712
13,1.0,0.061448678374290466,0.0047540427185595036,0.0,0.0,0.06620272248983383
14,1.0,0.05797194316983223,0.004345284309238195,0.0,0.0,0.06231722608208656
15,1.0,0.05631295219063759,0.004153338260948658,0.0,0.0,0.06046628952026367
16,1.0,0.05477309226989746,0.00407491996884346,0.0,0.0,0.05884801223874092
17,1.0,0.05763194337487221,0.0041442615911364555,0.0,0.0,0.06177620589733124
18,1.0,0.0539342425763607,0.003853120841085911,0.0,0.0,0.05778736248612404
19,1.0,0.05998243764042854,0.004517057910561562,0.0,0.0,0.06449949741363525
20,2.0,0.05843164026737213,0.004405790474265814,0.0,0.0,0.06283742934465408
21,2.0,0.05577126517891884,0.003960424568504095,0.0,0.0,0.05973168835043907
22,2.0,0.06073129549622536,0.004600375425070524,0.0,0.0,0.06533166766166687
23,2.0,0.05622880905866623,0.004101213999092579,0.0,0.0,0.060330022126436234
24,2.0,0.05685267224907875,0.004104434512555599,0.0,0.0,0.060957107692956924
25,2.0,0.057354848831892014,0.004175701644271612,0.0,0.0,0.061530549079179764
26,2.0,0.056797318160533905,0.004148151259869337,0.0,0.0,0.06094546988606453
27,2.0,0.058285996317863464,0.004357620142400265,0.0,0.0,0.0626436173915863
28,2.0,0.05564659461379051,0.003980015404522419,0.0,0.0,0.059626609086990356
29,2.0,0.058312468230724335,0.004267966374754906,0.0,0.0,0.06258043646812439
30,3.0,0.05831644684076309,0.004225212149322033,0.0,0.0,0.0625416561961174
31,3.0,0.057468511164188385,0.004215527325868607,0.0,0.0,0.06168403849005699
32,3.0,0.06048198416829109,0.004454987123608589,0.0,0.0,0.06493697315454483
33,3.0,0.05942584201693535,0.004435399547219276,0.0,0.0,0.06386124342679977
34,3.0,0.05912475660443306,0.00447093928232789,0.0,0.0,0.06359569728374481
35,3.0,0.05298309400677681,0.003622483229264617,0.0,0.0,0.05660557746887207
